                Date         T        RH         v         u    Height         P        TD        MR        DD        FF        AZ        El     Range               Lon               Lat        VV
2011-06-25T20:00:21Z    293.25     50.76      0.03     -2.73    649.22    948.00    282.77      7.93     90.66      2.73      3.67 -32768.00     80.96      0.3495336771     43.0855255100      0.00
2011-06-25T20:00:23Z    294.20     52.82      0.01     -2.93    663.48    946.43    284.24      8.76     90.15      2.93      1.16     10.20     69.36      0.3494872749     43.0854225200      7.13
2011-06-25T20:00:25Z    294.51     53.97     -0.03     -3.30    670.09    945.71    284.85      9.13     89.51      3.30    353.21     16.87     62.94      0.3493785858     43.0853614800      3.31
2011-06-25T20:00:27Z    294.66     54.66     -0.04     -3.65    679.02    944.74    285.18      9.34     89.32      3.65    324.90     36.81     37.45      0.3492055833     43.0850753800      4.46
2011-06-25T20:00:29Z    294.83     55.53     -0.04     -3.96    690.62    943.48    285.58      9.60     89.44      3.96    324.96     33.64     59.54      0.3490501940     43.0852394100      5.80
2011-06-25T20:00:31Z    294.94     54.46     -0.02     -4.24    702.92    942.14    285.39      9.50     89.76      4.24    312.37     37.30     68.15      0.3488516212     43.0852127100      6.15
2011-06-25T20:00:33Z    294.92     53.85      0.02     -4.46    711.84    941.17    285.20      9.39     90.25      4.46    295.80     41.89     67.82      0.3487201333     43.0850639300      4.46
2011-06-25T20:00:35Z    294.90     53.93      0.07     -4.64    721.35    940.14    285.20      9.39     90.86      4.64    291.00     41.46     79.63      0.3485570252     43.0850563000      4.76
2011-06-25T20:00:37Z    294.91     53.75      0.12     -4.79    731.59    939.03    285.16      9.38     91.48      4.79    289.18     42.94     86.59      0.3484655619     43.0850563000      5.12
2011-06-25T20:00:39Z    294.86     53.77      0.18     -4.91    740.03    938.12    285.12      9.36     92.06      4.91    290.30     43.92     92.45      0.3484051526     43.0850868200      4.22
2011-06-25T20:00:41Z    294.87     53.49      0.23     -5.00    753.00    936.72    285.05      9.34     92.62      5.00    291.02     44.46    103.94      0.3482785225     43.0851364100      6.49
2011-06-25T20:00:43Z    294.97     52.31      0.26     -5.07    761.11    935.85    284.80      9.19     92.99      5.08    289.58     43.86    114.57      0.3481442928     43.0851440400      4.05
2011-06-25T20:00:45Z    294.90     51.94      0.28     -5.14    772.94    934.57    284.63      9.10     93.16      5.15    288.93     44.59    123.70      0.3480330110     43.0851593000      5.92
2011-06-25T20:00:47Z    294.85     51.81      0.28     -5.21    781.10    933.69    284.55      9.06     93.13      5.21    288.98     45.26    128.92      0.3479728103     43.0851783800      4.08
2011-06-25T20:00:49Z    294.69     52.42      0.26     -5.27    793.10    932.40    284.58      9.09     92.86      5.28    287.27     45.32    140.52      0.3478221297     43.0851745600      6.00
2011-06-25T20:00:51Z    294.65     52.13      0.23     -5.34    802.45    931.40    284.46      9.03     92.41      5.35    290.29     43.63    158.85      0.3476401865     43.0852966300      4.68
2011-06-25T20:00:53Z    294.68     50.94      0.18     -5.41    812.24    930.35    284.14      8.84     91.86      5.42    288.97     43.44    170.28      0.3474923670     43.0852966300      4.90
2011-06-25T20:00:55Z    294.59     51.16      0.12     -5.48    821.20    929.39    284.12      8.84     91.28      5.48    283.15     44.59    172.62      0.3474056423     43.0851516700      4.48
2011-06-25T20:00:57Z    294.51     51.14      0.08     -5.54    830.60    928.38    284.04      8.81     90.79      5.54    283.87     44.47    182.97      0.3472884297     43.0851936300      4.70
