NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,1,-13.3,0.39,0.05,NaN,5,-4.24,4.35,0.21,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,5,1.57,1.12,0.5,NaN,5,1.24,4.01,0.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150000000,NaN,0,NaN,0
NaN,NaN,NaN,2,-1.7,1.24,0.07,NaN,1,-10.41,0.16,0.01,-0.34,10,-0.34,3.16,0.1,NaN,NaN,1,1.53,0.89,0.43,NaN,NaN,1,1.54,0.93,0.45,NaN,2,1.02,2.65,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70500,NaN,0,NaN,0
NaN,NaN,NaN,2,-1.91,1.77,0.09,NaN,2,0.12,1.29,0.07,-0.02,10,-0.02,3.7,0.12,NaN,NaN,1,0.64,0.83,0.41,NaN,NaN,1,1.97,0.69,0.37,NaN,2,1.94,1.67,0.33,NaN,NaN,NaN,NaN,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23300,NaN,0,NaN,0
NaN,NaN,NaN,2,-1.88,1.59,0.08,NaN,4,0.29,2.96,0.16,0.22,10,0.22,5.07,0.16,NaN,NaN,1,2.53,0.8,0.4,NaN,NaN,1,1.35,0.93,0.45,NaN,2,1.56,1.66,0.33,NaN,NaN,NaN,NaN,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21500,NaN,0,NaN,0
1.58,55.6,-1.51,10,-1.51,2.44,0.12,0.48,10,0.48,4.12,0.25,0.12,10,0.12,10.37,0.21,NaN,NaN,5,1.72,1.13,0.5,NaN,0.56,10,0.56,1.31,0.56,NaN,2,0.74,2.36,0.42,NaN,NaN,NaN,NaN,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3720,NaN,0,NaN,0
1.35,59.4,-1.26,10,-1.26,3.99,0.21,0.49,10,0.49,4.95,0.32,0.09,10,0.09,10.96,0.26,NaN,NaN,5,0.53,1.51,0.61,NaN,0.47,10,0.47,1.18,0.53,NaN,2,0.9,2.18,0.4,NaN,NaN,NaN,NaN,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1940,NaN,0,NaN,0
1.82,65.9,-1.6,10,-1.6,4.71,0.27,0.85,10,0.85,5.78,0.4,0.07,10,0.07,11.55,0.32,NaN,NaN,2,0.66,1.07,0.49,NaN,0.49,10,0.49,1.13,0.51,NaN,2,0.89,2.72,0.48,NaN,NaN,NaN,NaN,0.05,NaN,NaN,NaN,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1180,NaN,0,NaN,0
1.96,61,-1.8,10,-1.8,4.37,0.27,0.76,10,0.76,6.3,0.46,0.06,10,0.06,12.64,0.38,NaN,NaN,5,0.48,1.74,0.67,NaN,0.51,10,0.51,1.31,0.57,0.72,10,0.72,3.27,0.54,NaN,NaN,NaN,NaN,0.06,NaN,NaN,NaN,0.5,0.84,NaN,NaN,NaN,NaN,NaN,1.049,NaN,804,NaN,0,NaN,0
1.8,61.8,-1.64,10,-1.64,3.76,0.24,0.73,10,0.73,6.35,0.51,0.06,10,0.06,13.24,0.41,NaN,NaN,1,1.83,0.7,0.37,NaN,0.58,10,0.58,1.51,0.62,0.77,10,0.77,3.95,0.64,NaN,NaN,NaN,NaN,0.08,NaN,NaN,NaN,0.5,0.84,NaN,NaN,NaN,NaN,NaN,1.063,NaN,487,NaN,0,NaN,0
0.97,74.1,-0.78,10,-0.78,4.05,0.32,0.57,10,0.57,6.4,0.57,0.08,10,0.08,13.47,0.4,NaN,NaN,1,0.48,0.93,0.44,NaN,0.31,10,0.31,1.64,0.66,0.77,10,0.77,3.52,0.57,NaN,NaN,NaN,NaN,0.09,NaN,NaN,NaN,0.49,0.85,NaN,NaN,NaN,NaN,NaN,1.081,NaN,448,NaN,0,NaN,0
