NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,5,-1.67,4.04,0.17,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,2.45,0.52,0.3,NaN,5,1.29,5,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84700000,NaN,0,NaN,0
NaN,NaN,NaN,2,2.08,0.7,0.04,NaN,4,0.46,3.68,0.24,NaN,5,1.84,3.6,0.11,NaN,NaN,1,1.1,0.79,0.41,NaN,NaN,1,0.65,0.86,0.42,NaN,2,1,2.9,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115000,NaN,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,0.64,6.65,0.4,-0.35,10,-0.35,6.57,0.19,NaN,NaN,0,NaN,NaN,NaN,NaN,0.48,10,0.48,1.61,0.65,NaN,2,0.84,2.39,0.4,NaN,NaN,NaN,NaN,-0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7830,NaN,0,NaN,0
NaN,NaN,NaN,2,-2.01,1.21,0.06,NaN,4,0.78,7.24,0.44,0.23,10,0.23,4.99,0.16,NaN,NaN,1,1.92,0.73,0.38,NaN,0.91,10,0.91,1.95,0.74,NaN,2,1.56,2.14,0.39,NaN,NaN,NaN,NaN,-0.06,NaN,NaN,NaN,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1980,NaN,0,NaN,0
NaN,NaN,NaN,2,-2.9,1.43,0.07,NaN,4,0.77,7.48,0.47,0.09,10,0.09,10.64,0.19,NaN,NaN,1,1.28,0.71,0.37,NaN,0.62,10,0.62,1.36,0.58,NaN,2,1.08,1.84,0.38,NaN,NaN,NaN,NaN,-0.02,NaN,NaN,NaN,0.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1070,2400000,0,NaN,0
NaN,NaN,NaN,2,-2.8,1.78,0.08,NaN,4,0.46,7.05,0.52,0.03,10,0.03,11.6,0.21,NaN,NaN,1,0.57,0.86,0.43,NaN,0.42,10,0.42,1.62,0.65,NaN,2,1.1,1.66,0.35,2.93,43.6,-2.92,0.28,0.01,NaN,NaN,NaN,0.61,NaN,0.028,197,NaN,NaN,NaN,NaN,NaN,615,NaN,0,NaN,0
2.61,41.9,-2.6,10,-2.6,2.25,0.11,0.18,10,0.18,7.43,0.63,-0.13,10,-0.13,11.09,0.2,NaN,NaN,2,1.86,1.03,0.47,NaN,0.72,10,0.72,2.19,0.8,NaN,2,1.15,2.17,0.41,2.81,44.8,-2.79,0.33,0.04,NaN,NaN,NaN,0.57,NaN,0.024,196.4,NaN,NaN,NaN,NaN,NaN,427,2240000,0,NaN,0
2.86,35.3,-2.85,10,-2.85,2.27,0.11,-0.14,10,-0.14,6.79,0.64,-0.1,10,-0.1,10.68,0.18,NaN,NaN,1,0.69,0.72,0.38,NaN,0.61,10,0.61,2.05,0.76,NaN,2,1.42,2.34,0.43,2.72,45.8,-2.7,0.37,0.06,NaN,NaN,NaN,0.55,NaN,0.02,195.5,NaN,NaN,NaN,NaN,NaN,363,NaN,0,NaN,0
2.78,36.4,-2.78,10,-2.78,2.29,0.12,-0.08,10,-0.08,6.79,0.64,-0.05,10,-0.05,9.78,0.16,NaN,NaN,1,2.42,0.74,0.38,NaN,0.57,10,0.57,1.85,0.71,NaN,2,1.19,2.56,0.44,NaN,NaN,NaN,NaN,0.08,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,262,NaN,0,NaN,0
1.23,37.4,-1.23,10,-1.23,3.39,0.22,-0.01,10,-0.01,6.36,0.6,0.12,10,0.12,9.56,0.16,NaN,NaN,1,2.17,0.89,0.44,NaN,0.59,10,0.59,2.5,0.87,NaN,2,1.89,1.81,0.34,NaN,NaN,NaN,NaN,0.09,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,175,NaN,0,NaN,256
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,0.25,6.7,0.6,0.02,10,0.02,9.87,0.16,NaN,NaN,0,NaN,NaN,NaN,NaN,0.47,10,0.47,1.64,0.66,NaN,2,1.92,2.15,0.42,NaN,NaN,NaN,NaN,0.1,NaN,NaN,NaN,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,2650000,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,0.47,9.09,0.59,0.04,10,0.04,14.27,0.17,NaN,NaN,0,NaN,NaN,NaN,NaN,0.45,10,0.45,1.96,0.74,NaN,2,0.92,2.49,0.44,NaN,NaN,NaN,NaN,0.1,NaN,NaN,NaN,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,155,3590000,0,NaN,0
1.43,55.6,-1.36,10,-1.36,4.05,0.32,0.43,10,0.43,9.04,0.56,0.02,10,0.02,14.85,0.18,NaN,NaN,5,0.36,1.12,0.5,NaN,0.56,10,0.56,1.44,0.61,NaN,2,1.13,1.57,0.32,NaN,NaN,NaN,NaN,0.11,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125,3770000,0,NaN,256
2.52,46.2,-2.49,10,-2.49,2.98,0.23,0.36,10,0.36,9.84,0.58,0.02,10,0.02,14.94,0.18,NaN,NaN,5,1.5,1.24,0.56,NaN,0.49,10,0.49,1.95,0.74,NaN,2,1.09,1.92,0.37,NaN,NaN,NaN,NaN,0.11,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,0,NaN,256
3.02,45.8,-2.99,10,-2.99,2.47,0.18,0.41,10,0.41,9.97,0.57,0.05,10,0.05,14.76,0.18,NaN,NaN,1,1.91,0.52,0.3,NaN,0.43,10,0.43,1.22,0.54,NaN,2,1.38,1.99,0.39,NaN,NaN,NaN,NaN,0.11,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.5,NaN,0,NaN,256
